,INSTNM,C100_4,GRAD CLASSES
311,Clark Atlanta University,0.240799993277,1
312,Bauder College,0.07689999789,0
313,Berry College,0.54240000248,2
314,Beulah Heights University,0.0,0
315,Brenau University,0.34659999609,1
316,Brewton-Parker College,0.0839999988675,0
317,Carver Bible College,0.0,0
318,Clayton  State University,0.133900001645,0
319,Columbus State University,0.118799999356,0
320,Covenant College,0.483099997044,2
321,Dalton State College,0.0816000029445,0
322,South University-Savannah,0.0443999990821,0
323,Emmanuel College,0.285699993372,1
324,Emory University,0.840399980545,4
325,Fort Valley State University,0.108900003135,0
326,Georgia Institute of Technology-Main Campus,0.369899988174,1
327,Georgia Southwestern State University,0.100500002503,0
328,Georgia College and State University,0.399300009012,1
329,Georgia Southern University,0.266600012779,1
330,Georgia State University,0.223800003529,1
331,University of Georgia,0.597100019455,2
332,Kennesaw State University,0.163699999452,0
333,LaGrange College,0.442299991846,2
334,Life University,0.230800002813,1
335,Herzing University-Atlanta,0.192300006747,0
336,Mercer University,0.484600007534,2
337,Morehouse College,0.395300000906,1
338,Oglethorpe University,0.385199993849,1
339,Paine College,0.0372000001371,0
340,Piedmont College,0.368900001049,1
341,Reinhardt University,0.244900003076,1
342,Savannah College of Art and Design,0.443100005388,2
343,Savannah State University,0.0785000026226,0
344,Shorter University,0.354499995708,1
345,Spelman College,0.67040002346,3
346,Southern Polytechnic State University,0.104999996722,0
347,Thomas University,0.0841000005603,0
348,Toccoa Falls College,0.406500011683,2
349,Truett McConnell University,0.131699994206,0
350,Valdosta State University,0.163800001144,0
351,Wesleyan College,0.464300006628,2
352,University of West Georgia,0.159899994731,0
353,Chaminade University of Honolulu,0.29240000248,1
354,University of Hawaii at Hilo,0.113799996674,0
355,University of Hawaii at Manoa,0.197999998927,0
356,Hawaii Pacific University,0.199000000954,0
357,University of Hawaii-West Oahu,0.0799999982119,0
358,Boise Bible College,0.285699993372,1
359,Boise State University,0.120999999344,0
360,Idaho State University,0.113399997354,0
361,University of Idaho,0.276600003242,1
362,The College of Idaho,0.441599994898,2
363,Lewis-Clark State College,0.109600000083,0
364,Northwest Nazarene University,0.318899989128,1
365,Brigham Young University-Idaho,0.167799994349,0
366,American Academy of Art,0.468100011349,2
367,School of the Art Institute of Chicago,0.369599997997,1
368,Augustana College,0.709399998188,3
369,Aurora University,0.435000002384,2
370,Blackburn College,0.304100006819,1
371,Bradley University,0.507799983025,2
372,Chicago State University,0.0249000005424,0
373,University of Chicago,0.86519998312,4
374,Columbia College Chicago,0.296299993992,1
375,Concordia University-Chicago,0.542200028896,2
376,DePaul University,0.560299992561,2
377,East-West University,0.0507000014186,0
378,Eastern Illinois University,0.329899996519,1
379,Elmhurst College,0.607599973679,3
380,Eureka College,0.346399992704,1
381,Greenville College,0.396699994802,1
382,Harrington College of Design,0.256799995899,1
383,Hebrew Theological College,0.0507000014186,0
384,University of Illinois at Chicago,0.333200007677,1
385,Benedictine University,0.324900001287,1
386,University of Illinois at Urbana-Champaign,0.692200005054,3
387,Illinois Wesleyan University,0.749100029469,3
388,Illinois College,0.662699997425,3
389,Illinois Institute of Technology,0.283199995756,1
390,Argosy University-Chicago,0.46669998765,2
391,Illinois State University,0.456200003624,2
392,Sanford-Brown College-Chicago,0.0992999970913,0
393,Judson University,0.312799990177,1
394,Kendall College,0.194900006056,0
395,Knox College,0.727500021458,3
396,Lake Forest College,0.640200018883,3
397,Lewis University,0.423000007868,2
398,Lincoln Christian University,0.313300013542,1
399,Lincoln College,0.0,0
400,Loyola University Chicago,0.652100026608,3
401,MacMurray College,0.233300000429,1
402,McKendree University,0.357100009918,1
403,Midstate College,0.0,0
404,Millikin University,0.51029998064,2
405,Monmouth College,0.475199997425,2
406,Moody Bible Institute,0.790199995041,3
407,National Louis University,0.25,1
408,North Central College,0.496199995279,2
409,North Park University,0.340600013733,1
410,Northern Illinois University,0.252499997616,1
411,Northwestern University,0.853600025177,4
412,Northeastern Illinois University,0.0504000000656,0
413,Olivet Nazarene University,0.444400012493,2
414,Quincy University,0.330599993467,1
415,The Illinois Institute of Art-Chicago,0.162400007248,0
416,Robert Morris University Illinois,0.740999996662,3
417,Rockford University,0.27270001173,1
418,Roosevelt University,0.180899992585,0
419,Dominican University,0.476000010967,2
420,University of St Francis,0.379299998283,1
421,Saint Xavier University,0.321799993515,1
422,University of Illinois at Springfield,0.332199990749,1
423,Shimer College,0.18520000577,0
424,Southern Illinois University-Carbondale,0.245499998331,1
425,Southern Illinois University-Edwardsville,0.2867000103,1
426,Telshe Yeshiva-Chicago,0.0,0
427,Trinity Christian College,0.451099991798,2
428,Trinity International University-Illinois,0.358200013638,1
429,VanderCook College of Music,0.600000023842,3
430,Western Illinois University,0.296799987555,1
431,Wheaton College,0.796599984169,3
432,Anderson University,0.479600012302,2
433,Ball State University,0.370400011539,1
434,Bethel College-Indiana,0.561699986458,2
435,Butler University,0.620999991894,3
436,Calumet College of Saint Joseph,0.17990000546,0
437,DePauw University,0.746699988842,3
438,Earlham College,0.647099971771,3
439,University of Evansville,0.527599990368,2
440,Franklin College,0.539200007915,2
441,Goshen College,0.552299976349,2
442,Grace College and Theological Seminary,0.615899980068,3
443,Hanover College,0.655499994755,3
444,Holy Cross College,0.201000005007,1
445,Huntington University,0.483599990606,2
446,Indiana University-Purdue University-Fort Wayne,0.0712999999523,0
447,Indiana University-Purdue University-Indianapolis,0.175099998713,0
448,Harrison College-Indianapolis,0.0,0
449,University of Indianapolis,0.36669999361,1
450,Indiana Institute of Technology,0.17990000546,0
451,University of Southern Indiana,0.167699992657,0
452,Indiana State University,0.195399999619,0
453,Indiana University-Kokomo,0.0927999988198,0
454,Indiana University-South Bend,0.0634000003338,0
455,Indiana University-Bloomington,0.594399988651,2
456,Indiana University-Northwest,0.0864000022411,0
457,Indiana University-Southeast,0.0852999985218,0
458,Indiana University-East,0.0892999991775,0
459,International Business College-Fort Wayne,0.717000007629,3
460,ITT Technical Institute-Nashville,0.0741000026464,0
461,ITT Technical Institute-Fort Wayne,1.0,5
462,ITT Technical Institute-Indianapolis,0.0384999997914,0
463,Brown Mackie College-Merrillville,0.222200006247,1
464,Brown Mackie College-Michigan City,0.0,0
465,Manchester University,0.479799985886,2
466,Marian University,0.344700008631,1
467,Indiana Wesleyan University-Marion,0.519299983978,2
468,Martin University,0.0,0
469,Brown Mackie College-South Bend,0.333299994469,1
470,University of Notre Dame,0.907100021839,4
471,Oakland City University,0.354499995708,1
472,Purdue University-Calumet Campus,0.0943000018597,0
473,Purdue University-North Central Campus,0.0544999986887,0
474,Rose-Hulman Institute of Technology,0.625,3
475,University of Saint Francis-Fort Wayne,0.310499995947,1
476,Saint Josephs College,0.398600012064,1
477,Saint Mary-of-the-Woods College,0.363599985838,1
478,Saint Mary's College,0.780200004578,3
479,Taylor University,0.671000003815,3
480,Trine University,0.344199985266,1
481,Valparaiso University,0.595399975777,2
482,Vincennes University,0.224500000477,1
483,Wabash College,0.682699978352,3
484,Briar Cliff University,0.377000004053,1
485,Buena Vista University,0.351599991322,1
486,Central College,0.631200015545,3
487,Clarke University,0.489199995995,2
488,Coe College,0.612900018692,3
489,Cornell College,0.621699988842,3
490,Divine Word College,0.5,2
491,Dordt College,0.569199979305,2
492,Drake University,0.65499997139,3
493,University of Dubuque,0.374199986458,1
494,Emmaus Bible College,0.5,2
495,Faith Baptist Bible College and Theological Seminary,0.393400013447,1
496,Graceland University-Lamoni,0.357100009918,1
497,Grand View University,0.283600002527,1
498,Grinnell College,0.848500013351,4
499,Kaplan University-Cedar Rapids Campus,0.0,0
500,Iowa State University,0.394699990749,1
501,Iowa Wesleyan University,0.275200009346,1
502,University of Iowa,0.481599986553,2
503,Loras College,0.513000011444,2
504,Luther College,0.744400024414,3
505,Maharishi University of Management,0.294099986553,1
506,Morningside College,0.437099993229,2
507,Mount Mercy University,0.627900004387,3
508,Ashford University,0.0337000004947,0
509,University of Northern Iowa,0.378800004721,1
510,Northwestern College,0.539200007915,2
511,Saint Ambrose University,0.430799990892,2
512,Simpson College,0.637300014496,3
513,Upper Iowa University,0.23939999938,1
514,Waldorf University,0.22879999876,1
515,Wartburg College,0.64770001173,3
516,William Penn University,0.202999994159,1
517,Baker University,0.414900004864,2
518,Benedictine College,0.436899989843,2
519,Bethany College,0.252900004387,1
520,Bethel College-North Newton,0.423700004816,2
521,Central Christian College of Kansas,0.225799992681,1
522,Emporia State University,0.217500001192,1
523,Fort Hays State University,0.176499992609,0
524,Barclay College,0.424199998379,2
525,Friends University,0.136999994516,0
526,Kansas Christian College,0.333299994469,1
527,University of Kansas,0.371800005436,1
528,Newman University,0.312999993563,1
529,Kansas State University,0.275099992752,1
530,Kansas Wesleyan University,0.239099994302,1
531,Manhattan Christian College,0.295500010252,1
532,McPherson College,0.444400012493,2
533,MidAmerica Nazarene University,0.331699997187,1
534,Ottawa University-Ottawa,0.199000000954,0
535,Pittsburg State University,0.243300005794,1
536,University of Saint Mary,0.26550000906,1
537,Southwestern College,0.424100011587,2
538,Sterling College,0.293300002813,1
539,Tabor College,0.38299998641,1
540,Washburn University,0.127499997616,0
541,Wichita State University,0.19470000267,0
542,Alice Lloyd College,0.449699997902,2
543,Asbury University,0.55989998579,2
544,Bellarmine University,0.530900001526,2
545,Berea College,0.44549998641,2
546,Brescia University,0.107100002468,0
547,Campbellsville University,0.269899994135,1
548,Centre College,0.800599992275,4
549,Clear Creek Baptist Bible College,0.461499989033,2
550,University of the Cumberlands,0.250999987125,1
551,Eastern Kentucky University,0.193000003695,0
552,Georgetown College,0.445899993181,2
553,Kentucky Mountain Bible College,0.214300006628,1
554,Kentucky State University,0.0657000020146,0
555,Kentucky Wesleyan College,0.369899988174,1
556,University of Kentucky,0.327499985695,1
557,Kentucky Christian University,0.25,1
558,Lindsey Wilson College,0.185299992561,0
559,University of Louisville,0.359200000763,1
560,Midway University,0.24169999361,1
561,Morehead State University,0.240500003099,1
562,Murray State University,0.286199986935,1
563,Northern Kentucky University,0.12839999795,0
564,University of Pikeville,0.253100007772,1
565,Saint Catharine College,0.307700008154,1
566,Spalding University,0.068599998951,0
567,Thomas More College,0.321299999952,1
568,Transylvania University,0.631699979305,3
569,Union College,0.167999997735,0
570,Western Kentucky University,0.26519998908,1
571,Centenary College of Louisiana,0.422800004482,2
572,Dillard University,0.24279999733,1
573,Grambling State University,0.12160000205,0
574,Louisiana State University-Alexandria,0.107699997723,0
575,Louisiana State University and Agricultural & Mechanical College,0.370299994946,1
576,Louisiana State University-Shreveport,0.117499999702,0
577,Louisiana College,0.279799997807,1
578,Louisiana Tech University,0.300599992275,1
579,Loyola University New Orleans,0.509400010109,2
580,McNeese State University,0.163599997759,0
581,University of New Orleans,0.131400004029,0
582,Nicholls State University,0.188700005412,0
583,University of Louisiana at Monroe,0.190099999309,0
584,Northwestern State University of Louisiana,0.206799998879,1
585,University of Holy Cross,0.0693000033498,0
586,Our Lady of the Lake College,0.363599985838,1
587,Saint Joseph Seminary College,1.0,5
588,Southeastern Louisiana University,0.139200001955,0
589,Southern University and A & M College,0.0599999986589,0
590,Southern University at New Orleans,0.0329999998212,0
591,University of Louisiana at Lafayette,0.145400002599,0
592,Tulane University of Louisiana,0.695100009441,3
593,Xavier University of Louisiana,0.278100013733,1
594,College of the Atlantic,0.565199971199,2
595,Bates College,0.833000004292,4
596,Bowdoin College,0.860700011253,4
597,Colby College,0.852699995041,4
598,Husson University,0.210299998522,1
599,University of Maine at Augusta,0.0173000004143,0
600,University of Maine at Farmington,0.359400004148,1
601,University of Maine at Fort Kent,0.293500006199,1
602,University of Maine at Machias,0.218999996781,1
603,University of Maine,0.371300011873,1
604,Maine Maritime Academy,0.508499979973,2
605,University of Maine at Presque Isle,0.25830000639,1
606,University of New England,0.530399978161,2
607,Maine College of Art,0.388300001621,1
608,Saint Joseph's College of Maine,0.570100009441,2
609,University of Southern Maine,0.12729999423,0
610,Thomas College,0.228200003505,1
611,Unity College,0.558300018311,2
612,University of Baltimore,0.184000000358,0
613,Bowie State University,0.0782999992371,0
614,Capitol Technology University,0.205099999905,1
615,Washington Adventist University,0.168400004506,0
616,Coppin State University,0.0491000004113,0
617,Frostburg State University,0.19509999454,0
618,Goucher College,0.569400012493,2
619,Kaplan University-Hagerstown Campus,0.0,0
620,Hood College,0.581200003624,2
621,Johns Hopkins University,0.866900026798,4
622,Loyola University Maryland,0.773899972439,3
623,University of Maryland-University College,0.0467000007629,0
624,University of Maryland-Baltimore County,0.341500014067,1
625,University of Maryland-College Park,0.669900000095,3
626,Maryland Institute College of Art,0.642499983311,3
627,University of Maryland Eastern Shore,0.191699996591,0
628,Morgan State University,0.11819999665,0
629,Mount St Mary's University,0.575600028038,2
630,Ner Israel Rabbinical College,0.163299992681,0
631,Notre Dame of Maryland University,0.504800021648,2
632,Salisbury University,0.444900006056,2
633,St Mary's College of Maryland,0.724900007248,3
634,Sojourner-Douglass College,0.169200003147,0
635,St John's College,0.692799985409,3
636,Towson University,0.428299993277,2
637,Stevenson University,0.480800002813,2
638,Washington College,0.701200008392,3
639,McDaniel College,0.617399990559,3
640,American International College,0.275700002909,1
641,Amherst College,0.869899988174,4
642,Anna Maria College,0.330599993467,1
643,Assumption College,0.663399994373,3
644,Babson College,0.837999999523,4
645,Boston Baptist College,0.291700005531,1
646,Bay Path University,0.471300005913,2
647,Bay State College,0.122800000012,0
648,Becker College,0.159700006247,0
649,Bentley University,0.827000021935,4
650,Berklee College of Music,0.399699985981,1
651,Boston Architectural College,0.0,0
652,Boston College,0.880900025368,4
653,The Boston Conservatory,0.572399973869,2
654,Boston University,0.795300006866,3
655,Brandeis University,0.852800011635,4
656,Bridgewater State University,0.281399995089,1
657,Cambridge College,0.0294000003487,0
658,Clark University,0.723500013351,3
659,Curry College,0.364100009203,1
660,Dean College,0.43180000782,2
661,Eastern Nazarene College,0.395500004292,1
662,Emerson College,0.774600028992,3
663,Emmanuel College,0.558300018311,2
664,Endicott College,0.706900000572,3
665,Fisher College,0.238100007176,1
666,Fitchburg State University,0.297500014305,1
667,Framingham State University,0.330700010061,1
668,Gordon College,0.611000001431,3
669,Hampshire College,0.632399976254,3
670,Harvard University,0.857500016689,4
671,Hellenic College-Holy Cross Greek Orthodox School of Theology,0.529399991035,2
672,College of the Holy Cross,0.900900006294,4
673,Lasell College,0.521799981594,2
674,Lesley University,0.448599994183,2
675,University of Massachusetts-Lowell,0.271499991417,1
676,University of Massachusetts-Amherst,0.627900004387,3
677,University of Massachusetts-Boston,0.158800005913,0
678,MCPHS University,0.507499992847,2
679,Massachusetts College of Art and Design,0.516499996185,2
680,Massachusetts Institute of Technology,0.811699986458,4
681,Massachusetts Maritime Academy,0.549199998379,2
682,Merrimack College,0.628499984741,3
683,Montserrat College of Art,0.487500011921,2
684,Mount Holyoke College,0.762099981308,3
685,Mount Ida College,0.321399986744,1
686,School of the Museum of Fine Arts at Tufts University,0.282799988985,1
687,The New England Conservatory of Music,0.734200000763,3
